File_name	average	rmse	sumOfSqerror	Cancer_type	Status
ERR9923031	14.562948696999074	0.005377215556862829	0.1752345367442033	MT	Normal
ERR9923087	54.54446689672904	0.0021301746330129666	0.171793004404213	MT	Tumor
ERR9923032	15.105410570460739	0.00569844018201253	0.2138244290889809	MT	Normal
ERR9923088	45.36822369004586	0.00233602741010516	0.17605651554296886	MT	Tumor
ERR9923033	13.416089459787823	0.005681284013041559	0.2127259674502664	MT	Normal
ERR9923089	48.24412535783652	0.0021097723640596464	0.17509839628362103	MT	Tumor
ERR9923034	14.728419036130232	0.006458712365943932	0.20818705309795507	MT	Normal
ERR9923090	64.36146553134769	0.002217673142187735	0.169764291328606	MT	Tumor
ERR9923035	26.91089550914969	0.002781207268493422	0.19910414005086036	MT	Normal
ERR9923091	39.914269361050074	0.0020695698484940414	0.18167475821140505	MT	Tumor
ERR9923036	19.58229062450295	0.005044645136890505	0.1943989201805713	MT	Normal
ERR9923092	53.66636837243215	0.0021379665123440416	0.17359708818558708	MT	Tumor
ERR9923037	9.97794398113394	0.006642797991577573	0.21016872251137633	MT	Normal
ERR9923093	35.09736756138643	0.004001190172877527	0.18129409893164875	MT	Tumor
ERR9923038	14.825365660742593	0.004841025941059921	0.20498758295685324	MT	Normal
ERR9923094	52.911895675495586	0.0017840358049616154	0.17624973598005164	MT	Tumor
ERR9923039	13.230253602185446	0.006735644183867512	0.21310624456885327	MT	Normal
ERR9923095	53.44491200126996	0.0030296106151367556	0.17014439947252918	MT	Tumor
ERR9923040	12.61720896454894	0.006703428112172327	0.21208697367711477	MT	Normal
ERR9923096	45.9403891137618	0.002782806900207913	0.17365250204224425	MT	Tumor
ERR9923041	16.44277391824095	0.0063591942595666515	0.20119590200234247	MT	Normal
ERR9923097	53.522035349251354	0.0029942364407626195	0.17314869630034843	MT	Tumor
ERR9923042	9.055493578107535	0.006857593934455965	0.2169645620013949	MT	Normal
ERR9923098	47.282569371846876	0.0032147507092025614	0.17663585193068604	MT	Tumor
