File_name	fra30	fra60	Cancer_Type	Status
ERR10505809-ERR10505861-ERR10505913-ERR10505965	0.565695	0.487757	UC	Normal
ERR10505811-ERR10505863-ERR10505915-ERR10505967	0.472898	0.393067	UC	Normal
ERR10506010-ERR10506040-ERR10506070-ERR10506100	0.840050	0.782755	UC	Tumor
ERR10506011-ERR10506041-ERR10506071-ERR10506101	0.769869	0.710384	UC	Tumor
ERR10506012-ERR10506042-ERR10506072-ERR10506102	0.803638	0.742233	UC	Normal
ERR10505818-ERR10505870-ERR10505922-ERR10505974	0.515478	0.441112	UC	Tumor
ERR10506013-ERR10506043-ERR10506073-ERR10506103	0.871419	0.826162	UC	Normal
ERR10506014-ERR10506044-ERR10506074-ERR10506104	0.855457	0.802150	UC	Tumor
ERR10506015-ERR10506045-ERR10506075-ERR10506105	0.860768	0.812069	UC	Normal
ERR10505823-ERR10505875-ERR10505927-ERR10505979	0.486679	0.408277	UC	Tumor
ERR10506016-ERR10506046-ERR10506076-ERR10506106	0.884095	0.843218	UC	Normal
ERR10506017-ERR10506047-ERR10506077-ERR10506107	0.821985	0.765779	UC	Tumor
ERR10506018-ERR10506048-ERR10506078-ERR10506108	0.864274	0.815611	UC	Normal
ERR10505829-ERR10505881-ERR10505933-ERR10505985	0.508105	0.431359	UC	Tumor
ERR10505831-ERR10505883-ERR10505935-ERR10505987	0.523289	0.443609	UC	Normal
ERR10506019-ERR10506049-ERR10506079-ERR10506109	0.807383	0.751715	UC	Tumor
ERR10506020-ERR10506050-ERR10506080-ERR10506110	0.860907	0.813889	UC	Normal
ERR10505833-ERR10505885-ERR10505937-ERR10505989	0.545062	0.465161	UC	Tumor
ERR10505834-ERR10505886-ERR10505938-ERR10505990	0.599371	0.519759	UC	Normal
ERR10506021-ERR10506051-ERR10506081-ERR10506111	0.844477	0.790775	UC	Tumor
ERR10506022-ERR10506052-ERR10506082-ERR10506112	0.864375	0.818869	UC	Normal
ERR10506023-ERR10506053-ERR10506083-ERR10506113	0.772045	0.712930	UC	Tumor
ERR10506024-ERR10506054-ERR10506084-ERR10506114	0.847154	0.792118	UC	Normal
ERR10505837-ERR10505889-ERR10505941-ERR10505993	0.551725	0.475502	UC	Tumor
ERR10505838-ERR10505890-ERR10505942-ERR10505994	0.561058	0.486559	UC	Normal
ERR10506025-ERR10506055-ERR10506085-ERR10506115	0.836798	0.786376	UC	Tumor
ERR10506026-ERR10506056-ERR10506086-ERR10506116	0.838689	0.788482	UC	Normal
ERR10506027-ERR10506057-ERR10506087-ERR10506117	0.794181	0.732319	UC	Tumor
ERR10506028-ERR10506058-ERR10506088-ERR10506118	0.809846	0.751827	UC	Normal
ERR10505842-ERR10505894-ERR10505946-ERR10505998	0.470054	0.393716	UC	Normal
ERR10506030-ERR10506060-ERR10506090-ERR10506120	0.848625	0.801438	UC	Tumor
ERR10505843-ERR10505895-ERR10505947-ERR10505999	0.554445	0.476301	UC	Tumor
ERR10505844-ERR10505896-ERR10505948-ERR10506000	0.558442	0.479726	UC	Normal
ERR10505593-ERR10505607-ERR10505621-ERR10505635	0.873764	0.832936	UC	Tumor
ERR10505594-ERR10505608-ERR10505622-ERR10505636	0.851367	0.803199	UC	Normal
