SampleName	Provided_Breeds	BreedQC
SVAL000008	NA	Pass QC
SVAL000009	NA	Pass QC
TURM000002	NA	Pass QC
ANAT000001	NA	Pass QC
SALU000003	NA	Pass QC
TURM000005	NA	Pass QC
AFGH000001	NA	Pass QC
LHSA000004	NA	Pass QC
FOMD000001	NA	Pass QC
TOSA000003	NA	Pass QC
TOSA000001	NA	Pass QC
TOSA000002	NA	Pass QC
SRAB000001	NA	Pass QC
SRAB000002	NA	Pass QC
CAUC000003	NA	Pass QC
CAUC000002	NA	Pass QC
ANAT000004	NA	Pass QC
SALU000001	NA	Pass QC
AKBH000001	NA	Pass QC
CASD000001	NA	Pass QC
KARS000004	NA	Pass QC
SARP000004	NA	Pass QC
SARP000001	NA	Pass QC
SARP000003	NA	Pass QC
TIBT000001	NA	Pass QC
TIBT000002	NA	Pass QC
TIBT000003	NA	Pass QC
ZERD000001	NA	Pass QC
ZERD000002	NA	Pass QC
ZERD000003	NA	Pass QC
ZERD000004	NA	Pass QC
ANAT000006	NA	Pass QC
SROV000001	NA	Pass QC
SROV000004	NA	Pass QC
SROV000003	NA	Pass QC
GSPZ000001	German Spitz	Pass QC
GSPZ000002	German Spitz	Pass QC
GSZG000006	NA	Pass QC
GSZG000005	NA	Pass QC
GSZG000003	NA	Pass QC
GSZG000001	NA	Pass QC
GSPZ000006	German Spitz	Pass QC
KANG000003	NA	Pass QC
CAUC000001	NA	Pass QC
ANAT000003	NA	Pass QC
TURM000003	NA	Pass QC
ANAT000007	NA	Pass QC
TURM000001	NA	Pass QC
CRTR000008	NA	Pass QC
CRTR000010	NA	Pass QC
CRTR000011	NA	Pass QC
HELH000001	NA	Pass QC
HTSV000002	NA	Pass QC
HTSV000003	NA	Pass QC
HTSV000006	NA	Pass QC
HTSV000004	NA	Pass QC
HTSV000007	NA	Pass QC
HTSV000001	NA	Pass QC
HTSV000005	NA	Pass QC
GTLH000001	NA	Pass QC
RUSH000003	NA	Pass QC
RUSH000001	NA	Pass QC
RUSH000006	NA	Pass QC
RUSH000004	NA	Pass QC
RUSH000005	NA	Pass QC
RUSH000002	NA	Pass QC
POLG000005	NA	Pass QC
POLG000007	NA	Pass QC
POLG000002	NA	Pass QC
POLG000003	NA	Pass QC
HOBO000001	NA	Pass QC
POLG000004	NA	Pass QC
POLG000006	NA	Pass QC
POLG000001	NA	Pass QC
BRBT000006	NA	Pass QC
BRBT000005	NA	Pass QC
BRBT000001	NA	Pass QC
BRBT000003	NA	Pass QC
WEIM000001	NA	Pass QC
WEIM000002	NA	Pass QC
WEIM000004	NA	Pass QC
WEIM000003	NA	Pass QC
WEIM000005	NA	Pass QC
NORB000003	NA	Pass QC
NORB000004	NA	Pass QC
NORB000005	NA	Pass QC
NORB000001	NA	Pass QC
NORB000002	NA	Pass QC
HAEL000001	NA	Pass QC
NELK000001	NA	Pass QC
NELK000003	NA	Pass QC
NELK000004	NA	Pass QC
NELK000002	NA	Pass QC
NELK000005	NA	Pass QC
NELK000007	NA	Pass QC
NELK000006	NA	Pass QC
CAAN000002	NA	Pass QC
CAAN000001	NA	Pass QC
KARS000003	NA	Pass QC
POLS000004	NA	Pass QC
POLS000003	NA	Pass QC
PTAS000001	NA	Pass QC
PTAS000005	NA	Pass QC
PTAS000004	NA	Pass QC
PTAS000002	NA	Pass QC
PTAS000003	NA	Pass QC
PTAS000006	NA	Pass QC
DSHP000001	NA	Pass QC
BMAL000004	NA	Pass QC
BMAL000002	NA	Pass QC
TERV000004	NA	Pass QC
TERV000005	NA	Pass QC
TERV000003	NA	Pass QC
BMAL000003	NA	Pass QC
BMAL000001	NA	Pass QC
LAEK000001	NA	Pass QC
LAEK000004	NA	Pass QC
LAEK000002	NA	Pass QC
LAEK000003	NA	Pass QC
LAEK000005	NA	Pass QC
PISH000002	NA	Pass QC
PISH000003	NA	Pass QC
PISH000001	NA	Pass QC
PISH000004	NA	Pass QC
PISH000005	NA	Pass QC
PISH000006	NA	Pass QC
AZWK000001	NA	Pass QC
SLOU000002	NA	Pass QC
SLOU000003	NA	Pass QC
SLOU000001	NA	Pass QC
RHOD000001	NA	Pass QC
SKIP000002	NA	Pass QC
RHOD000002	NA	Pass QC
AHRT000004	NA	Pass QC
AHRT000003	NA	Pass QC
AHRT000001	NA	Pass QC
AHRT000002	NA	Pass QC
SKIP000004	NA	Pass QC
SKIP000003	NA	Pass QC
SKIP000006	NA	Pass QC
SKIP000001	NA	Pass QC
SKIP000005	NA	Pass QC
CARD000002	NA	Pass QC
POLS000001	NA	Pass QC
POLS000002	NA	Pass QC
PISP000001	NA	Pass QC
PISP000004	NA	Pass QC
PISP000003	NA	Pass QC
PISP000002	NA	Pass QC
BLPS000001	NA	Pass QC
BLPS000003	NA	Pass QC
SPMT000001	NA	Pass QC
SPMT000004	NA	Pass QC
SPMT000003	NA	Pass QC
SPMT000002	NA	Pass QC
SPMT000006	NA	Pass QC
PHAL000003	NA	Pass QC
PAPI000004	NA	Pass QC
PHAL000005	NA	Pass QC
PAPI000006	NA	Pass QC
PHAL000004	NA	Pass QC
PHAL000002	NA	Pass QC
PAPI000005	NA	Pass QC
PHAL000001	NA	Pass QC
PAPI000002	NA	Pass QC
PAPI000001	NA	Pass QC
PAPI000003	NA	Pass QC
MPIN000001	NA	Pass QC
CLSP000005	NA	Pass QC
CLSP000004	NA	Pass QC
CLSP000002	NA	Pass QC
CLSP000001	NA	Pass QC
CLSP000003	NA	Pass QC
DREV000001	NA	Pass QC
DREV000003	NA	Pass QC
DREV000004	NA	Pass QC
DREV000006	NA	Pass QC
