SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
HSA_1	Golden Retriever	Pass QC	HSA
HSA_10	Golden Retriever	Pass QC	HSA
HSA_32	Golden Retriever	Pass QC	HSA
CCB070115	Golden Retriever	Pass QC	BCL
CCB050351_URen	Golden Retriever	Pass QC	OM
CCB030165_URen	Golden Retriever	Pass QC	OM
CASLAB	Golden Retriever	Pass QC	BCL
CCB070252	Golden Retriever	Pass QC	BCL
HSA_33	Golden Retriever	Pass QC	HSA
CCB060066	Golden Retriever	Pass QC	OSA
i_42D9	Golden Retriever	Pass QC	GLM
CCB030273_URen	Golden Retriever	Pass QC	OM
DD0099	NA	Pass QC	OM
CCB030044_URen	Golden Retriever	Pass QC	OM
HSA_22	Golden Retriever	Pass QC	HSA
CCB030251	Golden Retriever	Pass QC	BCL
DD0001	NA	Pass QC	OM
T-134	Golden Retriever	Pass QC	OSA
HSA_34	Golden Retriever	Pass QC	HSA
CCB030120_URen	Golden Retriever	Pass QC	OM
CCB030120	NA	Pass QC	UCL
CCB050206	Golden Retriever	Pass QC	BCL
CCB050193	Golden Retriever	Pass QC	BCL
DD0056	NA	Pass QC	OM
HSA_38	Golden Retriever	Pass QC	HSA
B00E022-3	Golden Retriever	Pass QC	OM
Golden7	Golden Retriever	Pass QC	UCL
CCB010102	Golden Retriever	Pass QC	OSA
CCB010032_URen	Golden Retriever	Pass QC	OM
CCB040143	Golden Retriever	Pass QC	BCL
CCB020009	Golden Retriever	Pass QC	BCL
CCB030078	Golden Retriever	Pass QC	OSA
CCB070292	Golden Retriever	Pass QC	TCL
HSA_15	Golden Retriever	Pass QC	HSA
CCB050015	Golden Retriever	Pass QC	OSA
CCB030346	Golden Retriever	Pass QC	BCL
CCB010069	Golden Retriever	Pass QC	OSA
MBGRD14	Golden Retriever	Pass QC	BCL
CCB030232_URen	Golden Retriever	Pass QC	OM
CCB030265	Golden Retriever	Pass QC	TCL
CCB070053	Golden Retriever	Pass QC	OSA
CCB030003	Golden Retriever	Pass QC	TCL
CCB030117	Golden Retriever	Pass QC	BCL
CCB030026	Golden Retriever	Pass QC	TCL
CCB030061	Golden Retriever	Pass QC	OSA
CCB030145	Golden Retriever	Pass QC	BCL
Golden9	Golden Retriever	Pass QC	UCL
B00E026-7	Golden Retriever	Pass QC	OM
Golden6	Golden Retriever	Pass QC	UCL
B00E020-1	Golden Retriever	Pass QC	OM
Golden3	Golden Retriever	Pass QC	UCL
B00E01U-V	Golden Retriever	Pass QC	OM
DD0081	NA	Pass QC	OM
Golden12	Golden Retriever	Pass QC	UCL
B00E02C-D	Golden Retriever	Pass QC	OM
B00E01W-X	Golden Retriever	Pass QC	OM
DD0013	NA	Pass QC	OM
DD0305	NA	Pass QC	UC
DD0053	NA	Pass QC	OM
Golden11	Golden Retriever	Pass QC	UCL
B00E02A-B	Golden Retriever	Pass QC	OM
4189	Golden Retriever	Pass QC	BCL
Golden8	Golden Retriever	Pass QC	UCL
B00E024-5	Golden Retriever	Pass QC	OM
CCB070012	Golden Retriever	Pass QC	BCL
