SampleName	Provided_Breeds	BreedQC
SMSH000001	Small Swiss Hound	Pass QC
VIZS000007	Vizsla	Pass QC
HSHP000001	Vizsla	Pass QC
VIZS000001	Vizsla	Pass QC
HWHP000001	Vizsla	Pass QC
VIZS000006	Vizsla	Pass QC
VIZS000003	Vizsla	Pass QC
VIZS000005	Vizsla	Pass QC
VIZS000002	Vizsla	Pass QC
VIZS000004	Vizsla	Pass QC
STBD000001	Saint Bernard	Pass QC
STBD000003	Saint Bernard	Pass QC
STBD000002	Saint Bernard	Pass QC
STBD000012	Saint Bernard	Pass QC
STBD000009	Saint Bernard	Pass QC
STBD000013	Saint Bernard	Pass QC
STBD000004	Saint Bernard	Pass QC
STBD000006	Saint Bernard	Pass QC
STBD000005	Saint Bernard	Pass QC
STBD000011	Saint Bernard	Pass QC
STBD000010	Saint Bernard	Pass QC
STBD000007	Saint Bernard	Pass QC
STBD000008	Saint Bernard	Pass QC
